organization_id,data_category,purchased,num_employees,first_call_duration_mins,industry,dm_familiarity,dm_perception,dm_awareness,existing_customer,current_spend,company_age_months,trial
625598463623150000,historical,1,54,11,CPG,2,4,3,1,"$1,890.00",4,1
988906502809006000,historical,1,82,2,CPG,4,3,2,1,"$2,870.00",2,1
177986044844792000,historical,1,210,20,CPG,3,4,5,0,$0.00,6,1
952033787530997000,historical,1,139,22,CPG,1,2,1,1,"$4,865.00",5,0
480068788015949000,historical,1,40,8,CPG,1,1,5,0,$0.00,1,1
815809157000907000,historical,1,8,28,CPG,1,1,3,0,$0.00,5,1
470459058732352000,historical,1,137,15,CPG,4,1,4,1,"$4,795.00",9,1
835870154298153000,historical,1,35,21,CPG,3,3,2,0,$0.00,6,0
313515004745427000,historical,1,133,20,CPG,3,2,2,1,"$4,655.00",4,1
623181651666206000,historical,1,62,8,CPG,3,1,3,1,"$2,170.00",3,1
296915612648084000,historical,1,28,30,CPG,3,2,2,0,$0.00,2,1
207836600137293000,historical,1,213,20,CPG,2,2,5,1,"$7,455.00",1,1
706268336926193000,historical,1,107,23,CPG,4,2,4,1,"$3,745.00",6,1
422006606833062000,historical,1,195,19,CPG,3,2,4,1,"$6,825.00",6,1
317334346251934000,historical,1,78,12,CPG,2,5,3,1,"$2,730.00",7,1
539830059619858000,historical,1,16,12,CPG,2,1,2,0,$0.00,4,1
376454528490175000,historical,1,149,21,CPG,2,3,5,0,$0.00,5,1
610712823886914000,historical,1,216,13,CPG,2,4,1,0,$0.00,2,1
720374601071944000,historical,1,153,15,CPG,3,4,1,0,$0.00,9,0
597257414094983000,historical,1,15,28,CPG,5,5,2,1,$525.00,3,1
425020748737987000,historical,1,248,8,CPG,3,4,5,1,"$8,680.00",8,1
693891212201986000,historical,1,10,17,CPG,2,3,1,1,$350.00,9,0
767650610945355000,historical,1,202,11,CPG,5,1,3,0,$0.00,1,1
985186657269571000,historical,1,94,21,CPG,5,5,3,1,"$3,290.00",3,1
661984075201163000,historical,1,232,9,CPG,5,3,5,1,"$8,120.00",1,1
234582794391854000,historical,1,45,14,CPG,5,2,5,0,$0.00,2,1
585744777295727000,historical,1,141,4,CPG,3,1,5,0,$0.00,7,1
697126919682725000,historical,1,179,24,CPG,1,3,1,0,$0.00,8,1
271632783400695000,historical,1,164,22,CPG,4,5,1,0,$0.00,6,1
449128635385380000,historical,1,37,23,CPG,2,5,2,1,"$1,295.00",5,1
719333585473216000,historical,1,224,24,CPG,2,1,4,0,$0.00,1,1
362319173348295000,historical,1,160,9,CPG,3,1,4,0,$0.00,2,1
231529693093361000,historical,1,87,13,CPG,2,1,4,0,$0.00,2,1
573189922169255000,historical,1,52,13,CPG,3,3,5,1,"$1,820.00",8,1
185362237024509000,historical,1,122,6,CPG,3,2,1,1,"$4,270.00",2,0
120927206931090000,historical,1,103,14,CPG,5,2,4,0,$0.00,8,1
196173522289975000,historical,1,233,26,CPG,4,5,3,1,"$8,155.00",7,1
763830191565271000,historical,1,74,28,CPG,5,5,4,1,"$2,590.00",8,1
689210648826513000,historical,1,77,16,CPG,2,3,1,1,"$2,695.00",2,1
540024522661517000,historical,1,235,16,CPG,5,1,1,1,"$8,225.00",4,1
435514888109293000,historical,1,28,16,CPG,5,1,2,1,$980.00,7,0
633281965222006000,historical,1,23,18,CPG,5,3,5,1,$805.00,2,1
390356592154275000,historical,1,104,2,CPG,2,1,5,1,"$3,640.00",9,1
939002599653088000,historical,1,237,3,CPG,2,5,4,0,$0.00,2,1
325641016421326000,historical,1,113,14,CPG,2,1,3,1,"$3,955.00",2,1
424081692851446000,historical,1,102,18,CPG,4,4,4,0,$0.00,6,1
248270285584452000,historical,1,85,2,CPG,5,1,1,0,$0.00,7,1
476532480300538000,historical,1,138,12,CPG,3,4,4,1,"$4,830.00",3,1
823839936611235000,historical,1,200,11,CPG,5,2,5,1,"$7,000.00",8,1
999319997385663000,historical,1,102,14,CPG,3,2,3,0,$0.00,6,1
205837713031479000,historical,1,182,30,CPG,4,1,4,1,"$6,370.00",3,1
695830160666950000,historical,1,226,8,CPG,1,2,1,0,$0.00,4,1
878483254073607000,historical,1,202,11,CPG,2,5,2,1,"$7,070.00",5,1
124705197642493000,historical,1,7,15,CPG,3,1,1,1,$245.00,7,1
166394293714545000,historical,1,25,14,CPG,3,2,1,1,$875.00,6,1
819593889720560000,historical,1,192,14,CPG,2,1,1,1,"$6,720.00",2,1
603507308973135000,historical,1,156,6,CPG,1,3,2,0,$0.00,2,1
405422909701116000,historical,1,91,20,CPG,3,2,3,1,"$3,185.00",1,1
558124646547473000,historical,1,213,29,CPG,5,1,4,0,$0.00,3,1
930599583485154000,historical,1,233,4,CPG,1,4,1,0,$0.00,3,0
176612905076877000,historical,1,236,13,CPG,2,2,1,1,"$8,260.00",8,1
488170683875847000,historical,1,219,8,CPG,5,3,2,0,$0.00,3,1
145034810452060000,historical,1,98,13,CPG,5,2,3,0,$0.00,5,1
601892418973821000,historical,1,171,11,CPG,1,4,4,0,$0.00,4,1
799643509183884000,historical,1,209,12,CPG,5,1,5,1,"$7,315.00",7,1
191697478254495000,historical,1,12,30,CPG,1,2,1,0,$0.00,1,0
414711122692072000,historical,1,153,13,CPG,4,4,2,0,$0.00,4,1
218463472357378000,historical,1,7,27,CPG,1,1,5,0,$0.00,8,0
688943091844614000,historical,1,160,7,CPG,3,1,4,1,"$5,600.00",8,1
532129534820361000,historical,1,142,17,CPG,2,1,4,0,$0.00,1,1
127419525655034000,historical,1,100,20,CPG,1,5,3,1,"$3,500.00",5,1
938029545602381000,historical,1,232,12,CPG,4,2,3,1,"$8,120.00",3,1
720611474037458000,historical,1,95,5,CPG,3,2,3,1,"$3,325.00",2,1
717871127966575000,historical,1,243,16,CPG,1,1,2,0,$0.00,1,1
893217475357182000,historical,1,224,22,CPG,5,2,3,1,"$7,840.00",1,1
527597429427046000,historical,1,138,6,CPG,3,4,5,1,"$4,830.00",1,1
373805701058461000,historical,1,161,27,CPG,2,1,5,0,$0.00,2,1
769597748523504000,historical,1,171,5,CPG,4,4,4,0,$0.00,8,1
953646339084019000,historical,1,175,13,CPG,5,2,5,0,$0.00,9,1
629332997071106000,historical,1,157,7,CPG,3,3,5,1,"$5,495.00",2,0
327908248352289000,historical,1,6,2,CPG,2,1,4,1,$210.00,9,1
696032738494863000,historical,1,142,27,CPG,5,1,3,0,$0.00,5,1
348912537190453000,historical,1,228,4,CPG,2,4,1,0,$0.00,6,0
798319329827222000,historical,1,191,18,CPG,4,2,5,1,"$6,685.00",2,1
143168606770245000,historical,1,110,30,CPG,1,5,4,1,"$3,850.00",7,1
236927989166167000,historical,1,40,15,CPG,4,1,1,0,$0.00,2,1
350250427015737000,historical,1,77,4,CPG,1,4,5,0,$0.00,1,1
804960609072302000,historical,1,33,14,CPG,3,5,3,1,"$1,155.00",9,1
778208832557658000,historical,1,143,14,CPG,1,5,4,0,$0.00,4,1
848731431867625000,historical,1,122,18,CPG,3,2,4,1,"$4,270.00",9,1
985944282783391000,historical,1,78,6,CPG,2,4,4,0,$0.00,8,0
